"Id","FileCount","DirectoryCount","ArchiveCount","TextLikeCount","TotalBytes","LastWriteTime"
"S_COSMOS","69","1","15","31","3040367088","16/09/2026 09:05:26"
"S_TimeWarp","1221","367","35","965","351046012","15/09/2026 04:31:57"
"F_TimeWarp","1220","367","34","965","351040253","09/05/2026 18:03:16"
"S_FractalFormulaCorpus","15048","197","44","14996","4407190117","27/07/2026 16:39:40"
"F_FractalFormulaCorpus","15048","197","44","14996","4407190117","20/03/2026 20:21:51"
